total_accuracy,f1_gasp,recall_gasp,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info
0.7627195669934641,0.7580202858502005,0.7765624999999999,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.7245200163398693,0.7077931414560672,0.711284722222222,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.6968086192810458,0.6919485683949693,0.7010416666666667,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.7366830065359478,0.7332871508006956,0.7432291666666667,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.54453125,0.6881761716544325,1.0,gasp,100,50,50,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.5058823529411764,0.12131037078863166,0.17812500000000003,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.5022058823529412,0.13178656126482213,0.2,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.5088235294117647,0.12682552230378316,0.1875,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.5066176470588235,0.1338445322793149,0.2,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
0.77734375,0.7681158116694107,0.7515625,gasp,100,50,50,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-19
0.7970435049019609,0.7883647438088228,0.7743055555555555,gasp,104,52,52,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-19
0.8038041258169935,0.7977563931811222,0.7965277777777777,gasp,104,52,52,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-19
0.7887561274509804,0.7739732603567743,0.7463541666666667,gasp,104,52,52,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-19
0.7814644607843138,0.7568693072708166,0.7572916666666667,gasp,104,52,52,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-19
0.625,0.6167114052098572,0.609375,gasp,100,50,50,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-19
0.6116064133986928,0.5935660486744078,0.6008680555555556,gasp,104,52,52,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-19
