total_accuracy,f1_sniff,recall_sniff,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info
0.76875,0.7606547619047619,0.7708333333333333,sniff,38,19,19,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-19
0.7020833333333334,0.6988988095238096,0.725,sniff,38,19,19,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-19
0.79375,0.7786011904761905,0.7958333333333332,sniff,38,19,19,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-19
0.775,0.7580654761904763,0.7625,sniff,38,19,19,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-19
0.7833333333333333,0.7591369047619048,0.75,sniff,38,19,19,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-19
0.6708333333333333,0.6736904761904761,0.7,sniff,38,19,19,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-19
0.6666666666666666,0.6648214285714286,0.7041666666666666,sniff,38,19,19,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-19
0.85,0.851547619047619,0.8958333333333333,sniff,38,19,19,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-19
0.6854166666666666,0.6526785714285714,0.6875,sniff,38,19,19,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-19
0.6958333333333333,0.7099404761904762,0.7583333333333332,sniff,38,19,19,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-19
0.7979166666666666,0.7913690476190476,0.8416666666666667,sniff,38,19,19,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-19
0.7583333333333333,0.7584226190476191,0.7916666666666665,sniff,38,19,19,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-19
0.7416666666666666,0.7424702380952382,0.7833333333333333,sniff,38,19,19,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-19
0.7583333333333334,0.7786309523809524,0.8458333333333333,sniff,38,19,19,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-19
0.7874999999999999,0.8006249999999999,0.8541666666666666,sniff,38,19,19,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-19
0.8625,0.8630059523809525,0.8958333333333333,sniff,38,19,19,7,0.2,5,5,5,1,Sequential,model_layers=5,experiment_2_date_2019-09-20
0.7229166666666667,0.7302678571428571,0.7833333333333332,sniff,38,19,19,7,0.2,5,5,5,1,Id3Estimator,None,experiment_2_date_2019-09-20
0.8083333333333335,0.8238095238095238,0.8833333333333333,sniff,38,19,19,7,0.2,5,5,5,1,KNeighborsClassifier,None,experiment_2_date_2019-09-20
0.8062499999999999,0.8229761904761904,0.8958333333333333,sniff,38,19,19,7,0.2,5,5,5,1,SVC,None,experiment_2_date_2019-09-20
0.8020833333333334,0.7552083333333334,0.7,sniff,38,19,19,7,0.2,5,5,5,1,SVC,None,experiment_2_date_2019-09-20
0.8208333333333335,0.8230357142857143,0.8624999999999999,sniff,38,19,19,7,0.2,5,5,5,1,GaussianProcessClassifier,None,experiment_2_date_2019-09-20
0.66875,0.6446726190476191,0.6708333333333333,sniff,38,19,19,7,0.2,5,5,5,1,DecisionTreeClassifier,None,experiment_2_date_2019-09-20
0.7499999999999999,0.7368750000000001,0.7374999999999999,sniff,38,19,19,7,0.2,5,5,5,1,RandomForestClassifier,None,experiment_2_date_2019-09-20
0.8833333333333334,0.8704166666666666,0.8624999999999999,sniff,38,19,19,7,0.2,5,5,5,1,GaussianNB,None,experiment_2_date_2019-09-20
0.7541666666666667,0.7502976190476189,0.7749999999999999,sniff,38,19,19,7,0.2,5,5,5,1,AdaBoostClassifier,None,experiment_2_date_2019-09-20
0.8187500000000001,0.8231250000000001,0.8541666666666666,sniff,38,19,19,7,0.2,5,5,5,1,MLPClassifier,None,experiment_2_date_2019-09-20
0.8604166666666667,0.8725892857142856,0.9208333333333333,sniff,38,19,19,11,0.2,5,5,5,5,Sequential,model_layers=5,experiment_2_date_2019-09-20
0.7,0.6981547619047619,0.7541666666666667,sniff,38,19,19,11,0.2,5,5,5,5,Id3Estimator,None,experiment_2_date_2019-09-20
0.7541666666666667,0.7736011904761905,0.8416666666666667,sniff,38,19,19,11,0.2,5,5,5,5,KNeighborsClassifier,None,experiment_2_date_2019-09-20
0.7958333333333334,0.8187202380952381,0.8958333333333333,sniff,38,19,19,11,0.2,5,5,5,5,SVC,None,experiment_2_date_2019-09-20
0.5770833333333334,0.3011309523809524,0.2583333333333333,sniff,38,19,19,11,0.2,5,5,5,5,SVC,None,experiment_2_date_2019-09-20
0.7416666666666666,0.7530952380952382,0.7874999999999999,sniff,38,19,19,11,0.2,5,5,5,5,GaussianProcessClassifier,None,experiment_2_date_2019-09-20
0.6645833333333333,0.6334821428571429,0.6375,sniff,38,19,19,11,0.2,5,5,5,5,DecisionTreeClassifier,None,experiment_2_date_2019-09-20
0.7104166666666666,0.6882142857142857,0.6916666666666667,sniff,38,19,19,11,0.2,5,5,5,5,RandomForestClassifier,None,experiment_2_date_2019-09-20
0.8187499999999999,0.8160416666666666,0.8208333333333333,sniff,38,19,19,11,0.2,5,5,5,5,GaussianNB,None,experiment_2_date_2019-09-20
0.6979166666666666,0.6914880952380953,0.7124999999999999,sniff,38,19,19,11,0.2,5,5,5,5,AdaBoostClassifier,None,experiment_2_date_2019-09-20
