total_accuracy,f1_whisper,recall_whisper,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info
0.6774305555555555,0.7174098817848817,0.8043749999999998,whisper,54,27,27,16,0.2,5,5,5,10,GaussianNB,None,experiment_2_date_2019-09-19
0.7270138888888888,0.7228711566211565,0.75,whisper,54,27,27,16,0.2,5,5,5,10,AdaBoostClassifier,None,experiment_2_date_2019-09-19
0.7936111111111112,0.7910155122655123,0.8075,whisper,54,27,27,16,0.2,5,5,5,10,MLPClassifier,None,experiment_2_date_2019-09-19
0.7778819444444445,0.7959412115662116,0.835625,whisper,54,27,27,7,0.2,5,5,5,1,Sequential,model_layers=5,experiment_2_date_2019-09-19
0.5290277777777778,0.5180999555999556,0.52125,whisper,54,27,27,7,0.2,5,5,5,1,Id3Estimator,None,experiment_2_date_2019-09-19
0.686736111111111,0.6460209235209236,0.62375,whisper,54,27,27,7,0.2,5,5,5,1,KNeighborsClassifier,None,experiment_2_date_2019-09-19
0.6318402777777777,0.7058329170829172,0.874375,whisper,54,27,27,7,0.2,5,5,5,1,SVC,None,experiment_2_date_2019-09-19
0.5521527777777778,0.6115399877899879,0.7193750000000001,whisper,54,27,27,7,0.2,5,5,5,1,SVC,None,experiment_2_date_2019-09-19
0.7005902777777777,0.6962948856698856,0.7093749999999999,whisper,54,27,27,7,0.2,5,5,5,1,GaussianProcessClassifier,None,experiment_2_date_2019-09-19
0.6258333333333334,0.6237626262626262,0.628125,whisper,54,27,27,7,0.2,5,5,5,1,DecisionTreeClassifier,None,experiment_2_date_2019-09-19
0.6387152777777778,0.5929658535908536,0.568125,whisper,54,27,27,7,0.2,5,5,5,1,RandomForestClassifier,None,experiment_2_date_2019-09-19
0.6443055555555557,0.7188486513486514,0.8975,whisper,54,27,27,7,0.2,5,5,5,1,GaussianNB,None,experiment_2_date_2019-09-19
0.6165625,0.607414738039738,0.6281249999999999,whisper,54,27,27,7,0.2,5,5,5,1,AdaBoostClassifier,None,experiment_2_date_2019-09-19
0.6160069444444444,0.6361237373737374,0.685,whisper,54,27,27,7,0.2,5,5,5,1,MLPClassifier,None,experiment_2_date_2019-09-19
0.8256944444444445,0.8336874236874237,0.869375,whisper,54,27,27,11,0.2,5,5,5,5,Sequential,model_layers=5,experiment_2_date_2019-09-19
0.6700347222222223,0.6723815073815075,0.694375,whisper,54,27,27,11,0.2,5,5,5,5,Id3Estimator,None,experiment_2_date_2019-09-19
0.7057291666666667,0.7053026140526141,0.718125,whisper,54,27,27,11,0.2,5,5,5,5,KNeighborsClassifier,None,experiment_2_date_2019-09-19
