total_accuracy,f1_cry,recall_cry,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info,userInput
0.7971590909090909,0.7887966516920699,0.7681818181818182,cry,276,138,138,36,0.2,5,5,5,30,RandomForestClassifier,None,experiment_2_date_2019-08-25
0.7869318181818182,0.7799263069524346,0.7619318181818182,cry,276,138,138,36,0.2,5,5,5,30,GaussianNB,None,experiment_2_date_2019-08-25
0.803125,0.8037831237044073,0.8102272727272728,cry,276,138,138,36,0.2,5,5,5,30,AdaBoostClassifier,None,experiment_2_date_2019-08-25
0.8386363636363636,0.8377281792074965,0.8386363636363636,cry,276,138,138,36,0.2,5,5,5,30,MLPClassifier,None,experiment_2_date_2019-08-25
0.8980113636363636,0.898662197719698,0.9045454545454545,cry,276,138,138,41,0.2,5,5,5,35,Sequential,model_layers=5,experiment_2_date_2019-08-25
0.7593749999999999,0.7596597047030126,0.765909090909091,cry,276,138,138,41,0.2,5,5,5,35,Id3Estimator,None,experiment_2_date_2019-08-25
0.8431818181818183,0.8339673866576234,0.8,cry,276,138,138,41,0.2,5,5,5,35,KNeighborsClassifier,None,experiment_2_date_2019-08-25
0.8187500000000001,0.8126539188321289,0.7960227272727272,cry,276,138,138,41,0.2,5,5,5,35,SVC,None,experiment_2_date_2019-08-25
0.6644886363636363,0.7498830077485832,1.0,cry,276,138,138,41,0.2,5,5,5,35,SVC,None,experiment_2_date_2019-08-25
0.8411931818181819,0.8426081059696506,0.85,cry,276,138,138,41,0.2,5,5,5,35,GaussianProcessClassifier,None,experiment_2_date_2019-08-25
0.7928977272727272,0.7929928774638709,0.7994318181818181,cry,276,138,138,41,0.2,5,5,5,35,DecisionTreeClassifier,None,experiment_2_date_2019-08-25
0.7951704545454545,0.7883362648235503,0.7693181818181818,cry,276,138,138,41,0.2,5,5,5,35,RandomForestClassifier,None,experiment_2_date_2019-08-25
0.7639204545454545,0.7616045778856158,0.7596590909090909,cry,276,138,138,41,0.2,5,5,5,35,GaussianNB,None,experiment_2_date_2019-08-25
0.8011363636363636,0.8017764005408801,0.8119318181818183,cry,276,138,138,41,0.2,5,5,5,35,AdaBoostClassifier,None,experiment_2_date_2019-08-25
0.8480113636363635,0.8480865305951857,0.8556818181818182,cry,276,138,138,41,0.2,5,5,5,35,MLPClassifier,None,experiment_2_date_2019-08-25
0.9224431818181817,0.9245073082541199,0.9426136363636364,cry,276,138,138,46,0.2,5,5,5,40,Sequential,model_layers=5,experiment_2_date_2019-08-25
0.7801136363636363,0.7804298699424042,0.7857954545454545,cry,276,138,138,46,0.2,5,5,5,40,Id3Estimator,None,experiment_2_date_2019-08-25
0.8289772727272727,0.820020547287619,0.7880681818181818,cry,276,138,138,46,0.2,5,5,5,40,KNeighborsClassifier,None,experiment_2_date_2019-08-25
0.8238636363636364,0.8231218399903966,0.8238636363636364,cry,276,138,138,46,0.2,5,5,5,40,SVC,None,experiment_2_date_2019-08-25
0.6272727272727272,0.7294975559240351,1.0,cry,276,138,138,46,0.2,5,5,5,40,SVC,None,experiment_2_date_2019-08-25
0.8360795454545455,0.834982047738602,0.8363636363636364,cry,276,138,138,46,0.2,5,5,5,40,GaussianProcessClassifier,None,experiment_2_date_2019-08-25
