filename,spectral_centroid,zero_crossings,spectral_rolloff,chroma_stft,rms,mel_spec,mfcc_1,label
338955__carmsie__what-is-that_(1)_4.wav,2864.10945017958,0.14973612034574468,6394.215944980053,0.6039531230926514,488.3661193847656,0.00022896450536791235,-488.3661193847656,Far_miss
338955__carmsie__what-is-that_0.wav,4322.869707559463,0.36128291377314814,7214.520263671875,0.47574469447135925,439.6980895996094,0.10429252684116364,-439.6980895996094,Far_miss
338955__carmsie__what-is-that_1.wav,5097.691882241288,0.46430573640046297,7868.5414632161455,0.4504064917564392,511.2533874511719,0.05425233021378517,-511.2533874511719,Far_miss
338955__carmsie__what-is-that_2.wav,4762.0537018365,0.4006754557291667,7699.9643961588545,0.43978047370910645,275.46282958984375,4.1768622398376465,-266.170166015625,Far_miss
338955__carmsie__what-is-that_3.wav,3458.981950921402,0.20206931785300927,6737.1510823567705,0.3517708480358124,146.05706787109375,13.330205917358398,-128.44314575195312,Far_miss
338955__carmsie__what-is-that_4.wav,2864.10945017958,0.14973612034574468,6394.215944980053,0.6039531230926514,488.3661193847656,0.00022896450536791235,-488.3661193847656,Far_miss
352960__pillonoise__beach-atmosphere-leipzig-germany-cospudener-see_00.wav,1724.242190386811,0.08338080512152778,3818.3553059895835,0.394706130027771,316.8064270019531,0.0361713208258152,-316.8064270019531,Far_miss
352960__pillonoise__beach-atmosphere-leipzig-germany-cospudener-see_01.wav,2064.7395328851467,0.09977213541666667,4592.9026285807295,0.4700568914413452,271.8428955078125,0.06542101502418518,-271.8428955078125,Far_miss
352960__pillonoise__beach-atmosphere-leipzig-germany-cospudener-see_02.wav,1878.1484628350822,0.10249385127314815,3937.635294596354,0.34120261669158936,283.5278015136719,0.12136305868625641,-283.5278015136719,Far_miss
352960__pillonoise__beach-atmosphere-leipzig-germany-cospudener-see_03.wav,1763.878207676161,0.09702555338541667,3593.8517252604165,0.3836229145526886,298.31219482421875,0.04841373488306999,-298.31219482421875,Far_miss
352960__pillonoise__beach-atmosphere-leipzig-germany-cospudener-see_04.wav,1837.3161933242782,0.09861472800925926,3826.629638671875,0.3884398341178894,274.0737609863281,0.08557752519845963,-274.0737609863281,Far_miss
